# Leader strategies for Civ VI AI Advisor
# Format: LEADER_ID | Name: Display Name | Focus: X/Y | Strat: Strategy text
# LEADER_ID must match Lua output (without LEADER_ prefix)

# America
T_ROOSEVELT | Name: Teddy Roosevelt (Bull Moose) | Focus: Culture/Appeal | Strat: PACIFIST. Settle High Appeal (Woods/Mountains). Do NOT chop Woods. Rush "Eiffel Tower" and "Film Studio".
T_ROOSEVELT_ROUGHRIDER | Name: Teddy Roosevelt (Rough Rider) | Focus: Diplo/War | Strat: CONTINENTAL DEFENSE. +5 Combat Str on home continent. Trade with City-States for Envoys. UU: Rough Rider (Industrial).
ABRAHAM_LINCOLN | Name: Abraham Lincoln | Focus: Industry/Loyalty | Strat: IND. ZONE RUSH. Build Industrial Zones ASAP for free Melee units. Avoid Plantations (-Loyalty). Overwhelm with free maintenance-free units.

# Babylon
HAMMURABI | Name: Hammurabi | Focus: Science/Eureka | Strat: EUREKA RUSH. -50% Science yield, but Eurekas grant 100% of tech. Do not hard research! Build specific units to trigger boosts.

# France
CATHERINE_DE_MEDICI | Name: Catherine de Medici (Black Queen) | Focus: Espionage | Strat: SPYMASTER. Free Spy at Castles. +1 Diplo Visibility (+Combat Str). Use Spies to steal tech/gold and neutralize Governors.
CATHERINE_DE_MEDICI_ALT | Name: Catherine (Magnificence) | Focus: Luxury/Culture | Strat: LUXURY HOARDING. Collect duplicate luxuries. Run "Court Festival" project to turn Luxuries into massive Tourism burst.
ELEANOR_FRANCE | Name: Eleanor (France) | Focus: Loyalty Flip | Strat: PEACEFUL DOMINATION. Move Great Works to border cities. -1 Loyalty to neighbors per Great Work. Flip cities without war. Use Chateaus for culture.

# England
ELEANOR_ENGLAND | Name: Eleanor (England) | Focus: Loyalty/Naval | Strat: LOYALTY DOCKYARDS. Same loyalty flipping strategy as France, but backed by Royal Navy Dockyards for gold and mobility.
VICTORIA | Name: Victoria (Age of Empire) | Focus: Naval/Expansion | Strat: COLONIALISM. Free Melee unit when settling other continents. Rush "Military Science" for Redcoats. Dominate the seas.
VICTORIA_ALT | Name: Victoria (Age of Steam) | Focus: Production | Strat: INDUSTRIAL REVOLUTION. +10% Production per Industrial Zone building. Strategic Resources boost production. Mass produce units.
ELIZABETH | Name: Elizabeth I | Focus: Gold/Trade | Strat: TRADE TYCOON. +2 Trade Routes after first Admiral. Trade with City-States gives massive Gold. Use Gold to buy victory.

# Norway
HARALD_HARDRADA | Name: Harald (Konge) | Focus: Naval Raiding | Strat: PILLAGE ECONOMY. 50% cheaper naval melee. Pillage mines/faith for science/faith. Keep a standing navy to raid coasts.
